
─── Fold 0/92 ───
[fold 0] epoch   10 | train  121.56 | val  122.02 | rotLSD  23.47
[fold 3] epoch  570 | train    0.75 | val    0.83 | rotLSD   0.49
[fold 3] epoch  580 | train    0.74 | val    0.85 | rotLSD   0.49
[fold 3] epoch  590 | train    0.74 | val    0.86 | rotLSD   0.48
[fold 3] epoch  600 | train    0.74 | val    0.86 | rotLSD   0.47
[fold 3] epoch  610 | train    0.74 | val    0.85 | rotLSD   0.49
[fold 3] epoch  620 | train    0.73 | val    0.85 | rotLSD   0.50
[fold 3] epoch  630 | train    0.74 | val    0.82 | rotLSD   0.47
[fold 3] epoch  640 | train    0.74 | val    0.88 | rotLSD   0.49
[fold 3] epoch  650 | train    0.73 | val    0.84 | rotLSD   0.48
[fold 3] epoch  660 | train    0.73 | val    0.86 | rotLSD   0.48
[fold 3] epoch  670 | train    0.73 | val    0.85 | rotLSD   0.47
[fold 3] epoch  680 | train    0.73 | val    0.86 | rotLSD   0.48
[fold 3] epoch  690 | train    0.73 | val    0.87 | rotLSD   0.49
[fold 3] epoch  700 | train    0.72 | val    0.89 | rotLSD   0.49
[fold 3] epoch  710 | train    0.73 | val    0.84 | rotLSD   0.48
