
─── Fold 0/92 ───
[fold 2] epoch  480 | train    0.90 | val    0.84 | rotLSD   0.51
[fold 2] epoch  490 | train    0.90 | val    0.81 | rotLSD   0.50
[fold 2] epoch  500 | train    0.90 | val    0.84 | rotLSD   0.52
[fold 2] epoch  510 | train    0.90 | val    0.84 | rotLSD   0.52
[fold 2] epoch  520 | train    0.90 | val    0.83 | rotLSD   0.51
[fold 2] epoch  530 | train    0.90 | val    0.83 | rotLSD   0.49
[fold 2] epoch  540 | train    0.88 | val    0.82 | rotLSD   0.51
[fold 2] epoch  550 | train    0.89 | val    0.82 | rotLSD   0.50
[fold 2] epoch  560 | train    0.88 | val    0.81 | rotLSD   0.49
[fold 2] epoch  570 | train    0.88 | val    0.80 | rotLSD   0.50
[fold 2] epoch  580 | train    0.88 | val    0.81 | rotLSD   0.51
[fold 2] epoch  590 | train    0.89 | val    0.81 | rotLSD   0.51
[fold 2] epoch  600 | train    0.88 | val    0.81 | rotLSD   0.50
[fold 2] epoch  610 | train    0.87 | val    0.81 | rotLSD   0.50
[fold 2] epoch  620 | train    0.88 | val    0.81 | rotLSD   0.49
[fold 2] epoch  630 | train    0.87 | val    0.81 | rotLSD   0.51
[fold 2] epoch  640 | train    0.87 | val    0.80 | rotLSD   0.51
[fold 2] epoch  650 | train    0.87 | val    0.80 | rotLSD   0.49
[fold 2] epoch  660 | train    0.87 | val    0.80 | rotLSD   0.50
[fold 2] epoch  670 | train    0.87 | val    0.82 | rotLSD   0.52
[fold 2] epoch  680 | train    0.87 | val    0.81 | rotLSD   0.49
[fold 2] epoch  690 | train    0.86 | val    0.80 | rotLSD   0.49
[fold 2] epoch  700 | train    0.86 | val    0.81 | rotLSD   0.51
[fold 2] epoch  710 | train    0.86 | val    0.80 | rotLSD   0.51
[fold 2] epoch  720 | train    0.86 | val    0.79 | rotLSD   0.50
[fold 2] epoch  730 | train    0.86 | val    0.81 | rotLSD   0.50
[fold 2] epoch  740 | train    0.86 | val    0.80 | rotLSD   0.50
[fold 2] epoch  750 | train    0.86 | val    0.80 | rotLSD   0.49
[fold 2] epoch  760 | train    0.85 | val    0.79 | rotLSD   0.51
[fold 2] epoch  770 | train    0.86 | val    0.81 | rotLSD   0.50
[fold 2] epoch  780 | train    0.86 | val    0.80 | rotLSD   0.49
[fold 2] epoch  790 | train    0.86 | val    0.80 | rotLSD   0.51
[fold 2] epoch  800 | train    0.85 | val    0.80 | rotLSD   0.50
[fold 2] epoch  810 | train    0.86 | val    0.80 | rotLSD   0.49
[fold 2] epoch  820 | train    0.86 | val    0.80 | rotLSD   0.50
[fold 2] epoch  830 | train    0.85 | val    0.79 | rotLSD   0.49
[fold 2] epoch  840 | train    0.85 | val    0.79 | rotLSD   0.50
[fold 2] epoch  850 | train    0.85 | val    0.79 | rotLSD   0.50
[fold 2] epoch  860 | train    0.85 | val    0.79 | rotLSD   0.50
[fold 2] epoch  870 | train    0.85 | val    0.79 | rotLSD   0.50
[fold 2] epoch  880 | train    0.86 | val    0.79 | rotLSD   0.49
[fold 2] epoch  890 | train    0.86 | val    0.79 | rotLSD   0.49
[fold 2] epoch  900 | train    0.86 | val    0.79 | rotLSD   0.50
[fold 2] epoch  910 | train    0.86 | val    0.79 | rotLSD   0.49
[fold 2] epoch  920 | train    0.85 | val    0.79 | rotLSD   0.51
[fold 2] epoch  930 | train    0.85 | val    0.79 | rotLSD   0.51
[fold 2] epoch  940 | train    0.85 | val    0.79 | rotLSD   0.50
[fold 2] epoch  950 | train    0.85 | val    0.79 | rotLSD   0.49
[fold 2] epoch  960 | train    0.85 | val    0.79 | rotLSD   0.49
[fold 2] epoch  970 | train    0.85 | val    0.79 | rotLSD   0.49
[fold 2] epoch  980 | train    0.85 | val    0.79 | rotLSD   0.48
[fold 2] epoch  990 | train    0.85 | val    0.79 | rotLSD   0.50
[fold 2] epoch 1000 | train    0.86 | val    0.79 | rotLSD   0.48

─── Fold 3/92 ───
[fold 3] epoch   10 | train   36.06 | val   21.58 | rotLSD   3.79
[fold 3] epoch   20 | train    6.89 | val    3.39 | rotLSD   1.16
[fold 3] epoch   30 | train    2.46 | val    1.86 | rotLSD   0.79
[fold 3] epoch   40 | train    1.96 | val    1.77 | rotLSD   0.78
